colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
Parque San Andres,Coyoacan,1,-0.21233312452835446,-0.21610271072517143,-0.20914694579538107,Estable
Parque San Andres,Coyoacan,3,-0.2042166844533752,-0.20975473733298783,-0.19118113065248027,Estable
Parque San Andres,Coyoacan,5,-0.2042166844533752,-0.21017693110896857,-0.18992036696131973,Estable
Piedad Narvarte,Benito Juarez,1,-0.18288638748124283,-0.18817608768426722,-0.1708926529493939,Estable
Piedad Narvarte,Benito Juarez,3,-0.17870118710100955,-0.20491464697264056,-0.1538189694617405,Estable
Piedad Narvarte,Benito Juarez,5,-0.17898699308862212,-0.20547816951727182,-0.14469619077628518,Estable
Plutarco Elias Calles,Miguel Hidalgo,1,-0.24702919921915398,-0.24427461569740713,-0.2391019393016724,Estable
Plutarco Elias Calles,Miguel Hidalgo,3,-0.23654410456402056,-0.24872488572300078,-0.23011632984141714,Estable
Plutarco Elias Calles,Miguel Hidalgo,5,-0.2367110763312115,-0.2501281681280348,-0.22115419556998345,Estable
Polanco,Miguel Hidalgo,1,1.207562556763195,1.0747190811755825,1.2826848159302724,Estable
Polanco,Miguel Hidalgo,3,1.2387909225174432,1.0881512566146094,1.266514787739302,Estable
Polanco,Miguel Hidalgo,5,1.2387909225174432,1.0907522867107535,1.2653773137784494,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,1,-0.26971610292375287,-0.2680133219638025,-0.25697038397779604,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,3,-0.2618491859806251,-0.2548327356463012,-0.25322119951314714,Estable
Polanco Seccion I/ Los Morales,Miguel Hidalgo,5,-0.26201615774781606,-0.25511464204615125,-0.24587060137486746,Estable
Popotla,Miguel Hidalgo,1,-0.09984568695532542,-0.12899027631476062,-0.011252994067442302,Estable
Popotla,Miguel Hidalgo,3,-0.08951020200453182,-0.10937270605284112,-0.023515930842272388,Estable
Popotla,Miguel Hidalgo,5,-0.08950931213084698,-0.10044880558931407,-0.02429856267870325,Estable
Portales,Benito Juarez,1,0.3439264090641996,0.2895295974976222,0.42182393057923573,Estable
Portales,Benito Juarez,3,0.37033317524818277,0.3006849806372529,0.39584473693697975,Estable
Portales,Benito Juarez,5,0.37012095743258056,0.3059203184687087,0.39381490273633085,Estable
Portales Norte,Benito Juarez,1,-0.2052133016302926,-0.1972510087442954,-0.18108252144981546,Estable
Portales Norte,Benito Juarez,3,-0.2009313453029226,-0.2029605489619827,-0.18198825891062362,Estable
Portales Norte,Benito Juarez,5,-0.20109831707011352,-0.20352407150661397,-0.17202961462605237,Estable
Postal,Benito Juarez,1,-0.1977738446651378,-0.20287031838824093,-0.2023865831581821,Estable
Postal,Benito Juarez,3,-0.1926745195226867,-0.2188718941758162,-0.17869707695127177,Estable
Postal,Benito Juarez,5,-0.1930055715587106,-0.21992102264375468,-0.17003895009293168,Estable
Residencial Emperadores,Benito Juarez,1,-0.27963368662134047,-0.2687928539043026,-0.24574025594181526,Estable
Residencial Emperadores,Benito Juarez,3,-0.27661038114110004,-0.25880544240865055,-0.2548593733565411,Estable
Residencial Emperadores,Benito Juarez,5,-0.27654656668968364,-0.25936896495328177,-0.24557977811382362,Estable
Roma Norte,Cuauhtemoc,1,2.262244239131518,1.354574901018884,2.5304687543695237,Estable
Roma Norte,Cuauhtemoc,3,2.228372120655458,1.354574901018884,2.5442875393011732,Estable
Roma Norte,Cuauhtemoc,5,2.228372120655458,1.354574901018884,2.5435389989081454,Estable
Roma Sur,Cuauhtemoc,1,0.7177253307210268,0.6176949911039809,0.8333421813201848,Estable
Roma Sur,Cuauhtemoc,3,0.6775798646761816,0.6256465187508957,0.7973562647369471,Estable
Roma Sur,Cuauhtemoc,5,0.6770947598982555,0.6256545422474953,0.7956941296983213,Estable
San Alvaro,Azcapotzalco,1,-0.21409983248803674,-0.21297235402885203,-0.21262986046588428,Estable
San Alvaro,Azcapotzalco,3,-0.20449248716342086,-0.21398760190926117,-0.1917645730382709,Estable
San Alvaro,Azcapotzalco,5,-0.20442867271200446,-0.2147561960618521,-0.18319620798018907,Estable
