evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2026-02,2026-05,1336.2442321756419,859.2291238092357,0.643018022543872,False,1838,34,2026-02
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2026-02,2026-05,1294.1621853991098,784.3016717513724,0.6060304346703653,False,1838,57,2026-02
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2026-02,2026-05,1294.1621853991098,946.4257176353444,0.7313037950830513,False,1838,34,2026-02
EVALUATION_ALL,LGBM_TEMPORAL,3,2026-03,2026-06,1314.9588979849314,803.7061492642268,0.61120248739017,False,1915,65,2026-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2026-03,2026-06,1314.9588979849314,913.0892195494969,0.6943861294438424,False,1915,40,2026-03
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2026-03,2026-06,1284.3659771727423,941.7205497626971,0.7332182310183069,False,1915,65,2026-03
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2026-03,2026-06,1284.3659771727423,1065.2112253797272,0.8293673643742592,False,1915,40,2026-03
EVALUATION_ALL,LGBM_TEMPORAL,3,2026-04,2026-07,1334.7211936928447,662.7511494463776,0.49654650917223275,False,1967,48,2026-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,2026-04,2026-07,1334.7211936928447,765.2126521194622,0.5733127305803148,False,1967,25,2026-04
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,2026-04,2026-07,1293.769929476341,656.9546873287314,0.5077832405601177,False,1967,48,2026-04
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,2026-04,2026-07,1293.769929476341,723.0154206668471,0.5588438903967189,False,1967,25,2026-04
